Lon,Lat,Country
35.88016327,33.92306993,Lebanon
47.54599646,40.28827674,Azerbaijan
56.09165967,20.60515412,Oman
-90.36482288,15.69404158,Guatemala
29.8618993,26.49593108,Egypt
39.6008014,8.62278417,Ethiopia
28.45673742,47.19499323,Moldova
-86.61516846,14.82688225,Honduras
22.95556207,39.07466973,Greece
19.47905212,48.70547175,Slovakia
-66.18184085,7.12422395,Venezuela
NA,NA,NA
9.55288287,34.11956663,Tunisia
-66.47307314,18.22812711,Puerto Rico
96.48843207,21.18566514,Myanmar
103.81907385,36.56176801,China
17.76876588,44.17449912,Bosnia and Herzegovina
50.54197759,26.04200845,Bahrain
37.79594437,0.5998746,Kenya
2.61732102,28.15893844,Algeria
-58.40014084,-23.22823896,Paraguay
18.00865782,27.03094247,Libya
10.02799418,55.98126391,Denmark
14.8044464,46.11555444,Slovenia
74.54165548,41.46221785,Kyrgyzstan
63.14001799,41.75554081,Uzbekistan
-8.13793167,53.1754426,Ireland
8.08944243,9.59411807,Nigeria
109.69761552,3.78987255,Malaysia
23.88720035,55.32611078,Lithuania
21.68211343,41.59531059,Macedonia
103.8172532,1.35877066,Singapore
-1.21676901,7.95345124,Ghana
66.00473115,33.83523216,Afghanistan
20.87249613,42.57078418,Kosovo
-88.87164456,13.73944008,El Salvador
20.04983034,41.14245128,Albania
15.34832968,68.75014407,Norway
19.2388382,42.7889115,Montenegro
127.83916926,36.3852463,South Korea
6.07182681,49.76724687,Luxembourg
134.49099877,-25.73288736,Australia
26.27467024,64.49884844,Finland
80.70107795,7.61266309,Sri Lanka
12.73964266,5.69110296,Cameroon
-5.56921598,7.62842868,Ivory Coast
32.36907536,1.27469024,Uganda
29.94047226,15.99035431,Sudan
24.9123704,56.85085306,Latvia
27.77475082,-13.45824537,Zambia
46.70473751,-19.37189599,Madagascar
-14.47348904,14.36624381,Senegal
35.53367351,-17.27381898,Mozambique
17.53736149,-12.29336112,Angola
17.20962769,-22.13030791,Namibia
-144.90488761,-14.72228068,French Polynesia
-10.94066379,10.43621595,Guinea
73.45711081,3.72854733,Maldives
23.64395637,-2.87746013,Democratic Republic of the Congo
25.54248555,58.67192416,Estonia
71.01363312,38.53045125,Tajikistan
33.00600358,34.91666932,Cyprus
-23.95990969,15.95518822,Cape Verde
-77.31482556,18.15695476,Jamaica
29.85145031,-19.00420587,Zimbabwe
23.7985373,-22.18402031,Botswana
14.40522042,35.92151315,Malta
-72.68527364,18.93500961,Haiti
11.78863005,-0.58660329,Gabon
-10.3477974,20.25736926,Mauritania
-79.01606913,21.62290023,Cuba
38.50787939,35.02547248,Syria
-76.62835738,24.29031222,The Bahamas
144.76792243,13.4416655,Guam
1.56053368,42.54229174,Andorra
-61.26565805,10.45735757,Trinidad and Tobago
31.48193159,-26.55842734,Swaziland
34.2893585,-13.2180697,Malawi
-56.01806795,-32.79951982,Uruguay
29.91989113,-1.99033199,Rwanda
-88.71010228,17.20027475,Belize
-85.03052894,12.84709633,Nicaragua
15.21965722,-0.83788172,Republic of the Congo
42.56067681,11.748720519999999,Djibouti
-58.98202596,4.79378052,Guyana
-18.57397086,64.99575263,Iceland
-55.91234833,4.13055377,Suriname
10.34138898,1.70554042,Equatorial Guinea
20.46826364,6.56823003,Central African Republic
-69.98267466,12.52088881,Aruba
-3.54268794,17.34581461,Mali
45.70716243,4.75065195,Somalia
101.00288352,15.11816347,Thailand
-15.39601809,13.44965377,Gambia
30.24790056,7.30877585,South Sudan
2.32784527,9.6417533,Benin
0.96232118,8.52529798,Togo
-1.7545684,12.26953681,Burkina Faso
-68.9712225,12.19552443,Curacao
-14.94972941,12.04744454,Guinea Bissau
-11.79271209,8.56329069,Sierra Leone
47.58676005,15.90927655,Yemen
28.22722773,-29.5800467,Lesotho
171.48495391,-41.81112825,New Zealand
18.64493211,15.33333336,Chad
12.45923029,43.94186939,San Marino
-9.32207781,6.45278273,Liberia
9.38546454,17.41912605,Niger
-64.80300497,17.95501398,United States Virgin Islands
106.29913857,16.64601451,Vietnam
9.53573593,47.13665447,Liechtenstein
-63.05713283,18.05081813,Sint Maarten
-2.12687655,49.21837488,Jersey
NA,NA,NA
6.72429635,0.44390851,Sao Tome and Principe
103.05299651,46.82681435,Mongolia
-12.2198297,24.22956358,Western Sahara
-71.97385725,21.83047424,Turks and Caicos Islands
29.8751201,-3.35939257,Burundi
120.95427264,23.75400343,Taiwan
145.20744918,-6.46416276,Papua New Guinea
7.40628055,43.75276115,Monaco
43.68238096,-11.87777573,Comoros
38.84615444,15.36186881,Eritrea
34.81310214,-6.27565815,United Republic of Tanzania
57.57120758,-20.2777156,Mauritius
-6.88096322,62.05386227,Faroe Islands
90.401895,27.4110619,Bhutan
-4.53873822,54.2241965,Isle of Man
104.90694312,12.72004932,Cambodia
-2.57240158,49.46809855,Guernsey
-80.91213058,19.42896455,Cayman Islands
-59.55980198,13.18145371,Barbados
-64.75454185,32.31368594,Bermuda
-60.96969329,13.8947837,Saint Lucia
55.47601997,-4.66097821,Seychelles
NA,NA,NA
114.72202554,4.51968241,Brunei
-61.7946956,17.27754256,Antigua and Barbuda
145.61961878,15.82873009,Northern Mariana Islands
-61.35773122,15.43947211,Dominica
-61.20129438,13.22471841,Saint Vincent and the Grenadines
-64.47140241,18.52593375,British Virgin Islands
165.45055475,-17.4285609,Fiji
-61.68219415,12.1172555,Grenada
103.73772128,18.50217971,Laos
165.68492075,-21.29990206,New Caledonia
125.84438644,-8.8288854,East Timor
12.43386255,41.90174097,Vatican
-62.68754242,17.26458594,Saint Kitts and Nevis
-41.34191035,74.71051369,Greenland
-59.35240055,-51.7448299,Falkland Islands
159.63284711,-8.92175696,Solomon Islands
-62.18519807,16.73941361,Montserrat
-63.06498464,18.22396692,Anguilla
170.33963635,7.00352799,Marshall Islands
-177.34813306,-13.88724988,Wallis and Futuna
167.68636735,-16.22630588,Vanuatu
